Company Name,Contact Name,Email,Phone,Website,Industry,Company Size,Location,Source,Notes
BuildPro Services,,,,https://buildpro.com.au,construction,11-50,Melbourne,competitor_analysis,"Confidence: 0.9999999999999999, Tags: "
ConstructCo Melbourne,,,,https://constructco.com.au,construction,11-50,Melbourne,competitor_analysis,"Confidence: 0.9999999999999999, Tags: "
Premier Building Group,,,,https://premierbuilding.com.au,construction,11-50,Melbourne,competitor_analysis,"Confidence: 0.9999999999999999, Tags: "
Hansen Living,,,,,construction,10-50,Melbourne,web_research,"Confidence: 0.7999999999999999, Tags: "
Granvue Homes,,,,https://granvuehomes.com.au,construction,10-50,Melbourne,web_research,"Confidence: 0.9999999999999999, Tags: "
MJS Construction Group,,,,,construction,10-50,Melbourne,web_research,"Confidence: 0.7999999999999999, Tags: "
First Avenue Homes,,,,,construction,10-50,Melbourne,web_research,"Confidence: 0.7999999999999999, Tags: "
Boutique Homes,,,,https://boutiquehomes.com.au,construction,10-50,Melbourne,web_research,"Confidence: 0.9999999999999999, Tags: "
Home Builders Melbourne,,,,,construction,10-50,Melbourne,web_research,"Confidence: 0.7999999999999999, Tags: "
Windiate Architects,,,,,construction,10-50,Melbourne,web_research,"Confidence: 0.7999999999999999, Tags: "
Carlisle Homes,,,,https://carlislehomes.com.au,construction,10-50,Melbourne,web_research,"Confidence: 0.9999999999999999, Tags: "
Infinity Constructions,,,,https://infinityconstructions.com.au,construction,11-50,Melbourne,web_research,"Confidence: 0.9999999999999999, Tags: "
Jointly Commercial,,,,https://jointly.com.au,construction,10-50,Melbourne,web_research,"Confidence: 0.9999999999999999, Tags: "
